Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Villagers and Heroes,2014-04-17,0.0,"500,000 .. 1,000,000",Mad Otter Games,Mad Otter Games,5.00E+05,1.00E+06,500.0K,1.0M
NosTale - Anime MMORPG,2017-09-18,0.0,"500,000 .. 1,000,000","Entwell Co., Ltd.",Gameforge 4D GmbH,5.00E+05,1.00E+06,500.0K,1.0M
BattleRush,2018-03-27,0.0,"500,000 .. 1,000,000",Thunder Developers,Thunder Developers,5.00E+05,1.00E+06,500.0K,1.0M
Forge of Gods (RPG),2016-05-06,,"500,000 .. 1,000,000",Panoramik Inc,Panoramik Inc,5.00E+05,1.00E+06,500.0K,1.0M
RPG MO,2015-08-18,0.0,"500,000 .. 1,000,000",Marxnet,Marxnet,5.00E+05,1.00E+06,500.0K,1.0M
Bit Heroes,2017-12-13,0.0,"500,000 .. 1,000,000",Juppiomenz,Kongregate,5.00E+05,1.00E+06,500.0K,1.0M
Shop Heroes,2016-08-15,0.0,"500,000 .. 1,000,000","Cloudcade, Inc.","Cloudcade, Inc.",5.00E+05,1.00E+06,500.0K,1.0M
Skyforge,2017-04-13,0.0,"500,000 .. 1,000,000",Allods Team,Music Guru LLC,5.00E+05,1.00E+06,500.0K,1.0M
Armored Warfare,2015-10-08,0.0,"500,000 .. 1,000,000","Obsidian Entertainment, Wishlist Games",Wishlist Games,5.00E+05,1.00E+06,500.0K,1.0M
Mabinogi,2012-12-06,0.0,"500,000 .. 1,000,000",NEXON Korea Corp.,Nexon America Inc.,5.00E+05,1.00E+06,500.0K,1.0M
8BitMMO,2015-01-26,0.0,"500,000 .. 1,000,000",Archive Entertainment,Archive Entertainment,5.00E+05,1.00E+06,500.0K,1.0M
Infinity Wars: Animated Trading Card Game,2014-09-05,0.0,"500,000 .. 1,000,000",Lightmare Studios,"Lightmare Studios, Yodo1 Games",5.00E+05,1.00E+06,500.0K,1.0M
VEGA Conflict,2015-12-14,0.0,"500,000 .. 1,000,000",KIXEYE,KIXEYE,5.00E+05,1.00E+06,500.0K,1.0M
My Lands: Black Gem Hunting,2014-09-16,0.0,"500,000 .. 1,000,000","Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY Ltd,5.00E+05,1.00E+06,500.0K,1.0M
