"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"7544","Red Rover","Jun 18, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alan Chan","Alan Chan"
"7545","Doodle Farm","Nov 15, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JoyBits Ltd.","JoyBits Ltd."
"7546","獣王/BEAST KING","Mar 27, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sammy Networks Co., Ltd.","Sammy Networks Co., Ltd."
"7547","Cartonfall: Fortress - Defend Cardboard Castle","Aug 12, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","kuklam studios","kuklam studios"
"7548","""draw a card"" -Simulator","Aug 26, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","StupidSimulators","Fireworks Productions"
"7549","Crash Race","Mar 23, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","INFINITE BRIDGE","INFINITE BRIDGE"
"7550","Hungry Bunny","Jul 20, 2021","$1.29","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Fenous","kovalevviktor"
"7551","Reborn Tribe","Nov 12, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luper","Luper"
"7552","Rock Snake","Mar 14, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Piece Of Voxel","Piece Of Voxel"
"7554","Haste-Miner 2","Sep 5, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Seyloj","Seyloj"
"7555","Moto Pizza Courier","Nov 24, 2022","$0.39","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"7556","Chesster","Mar 16, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team Chesster","Surprise Attack"
"7557","PROJECT MAZE","May 28, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lambdadev","Digital Assets"
"7558","EquiMagic - Galashow of Horses","Dec 19, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
"7559","The Basilisk","Jul 24, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Joshua Hughes","Joshua Hughes"
"7560","Tales of Tomorrow: Experiment","Sep 23, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Duality Games, Glob Games Studio","Duality Games"
"7561","Rock, Paper, Scissors Simulator","Jan 10, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Paper Scissors, Please","Kavkaz Sila Games, Deadwater Interactive"
"7562","Jurisdiction","Mar 2, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Meteor Shock","Meteor Shock"
"7564","Underwater World - Idle Desktop Colony Building Simulator","Sep 9, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Overlay Games, AnretanDEV","Overlay Games, AnretanDEV"
"7566","God is a Cube: Programming Robot Cubes","Oct 11, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Marc Kruzik","Dimensional Studio"
"7567","KURT - DER FUSSBALLMANAGER","Feb 1, 1999","$3.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heart-Line, Greencode","UniqueGames Publishing GmbH"
"7568","BorderCollie Game","Jun 3, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CanisGames","CanisGames"
"7569","Boxing Coach","Oct 15, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yiku studio","Yiku studio"
"7570","Nothing To Remember","Jul 29, 2021","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Guts United","Guts United"
"7571","Throw Knives","May 6, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stas Paty9mkin","Piece Of Voxel"
"7572","Supreme Race on Highway","Mar 21, 2022","$199.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","TITA Studios","TITA Studios"
"7573","Liar Moon Shangri-La","Jul 21, 2022","$44.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rejet","Beijing Happy Entertainment Technology"
"7574","Hyperspeed","Apr 1, 2015","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MicroProse Software, Inc","Nightdive Studios, Retroism"
"7575","No Clue VR","Nov 7, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elknight","Elknight"
"7576","GATARI: Sand on Teeth","Apr 24, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HIDS","HIDS"
"7577","Shivering Sky","Feb 5, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Denys Li","Denys Li"
"7578","City Destructor","Apr 14, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NODETRACK","NODETRACK"
"7579","World Championship Boxing Manager","Jan 1, 1990","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Goliath Games","Ziggurat"
"7580","StarScraper","Jun 10, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mitchell Garrett, Jonathan K-Q","Rosae Ex Ludis"
"7581","Vilomah","Sep 22, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Disrate Studios","Disrate Studios"
"7582","Roads of Rome: New Generation 2","Nov 2, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Whiterra","Qumaron"
"7583","My Universe - Cooking Star Restaurant","Nov 10, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Old Skull Games","Microids"
"7584","Realtime Mining Simulator","Mar 28, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MazyGames","MazyGames"
"7585","Dark Side of Fate","Jul 23, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","Big Black Bear"
"7586","18Korea","Dec 7, 2021","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sinkhole Studio","Sinkhole Studio"
"7587","PIPELINE RTX","Feb 24, 2022","$1.19","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Piece Of Voxel","Piece Of Voxel"
"7588","VOID","Nov 6, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DreamSeller","DreamSeller"
"7589","Trump VS Covid: Save The World Clicker","Jan 5, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PaulArt","PaulArt"
"7590","VR Walking Simulator","Jul 12, 2021","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atahan Ozturk","Atahan Ozturk"
"7591","REBEL","Mar 4, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7592","the DEEP LOST","Mar 19, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Erdem Salman","BAY GAMES"
"7593","The Cold War Era","Sep 9, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alina Digital","Alina Digital"
"7594","Dragon Essence - Color My World -","May 5, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zeiva Inc","Zeiva Inc"
"7595","Wer weiß denn sowas? - Das 2. Spiel","Oct 15, 2019","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","bitComposer Interactive GmbH","bitComposer Interactive GmbH"
"7596","Forklift: Simulator","Jun 25, 2019","$1.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IO Games","IO Games"
"7597","Alchemy Emporium","May 26, 2021","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curtel Games, Xteam software solutions","Xteam software solutions, Curtel Games"
"7599","Be a Pirate","Nov 9, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Amfich","Piece Of Voxel"
"7600","Cute Invaders","May 9, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Magic Cube","Magic Cube"
"7602","Global Soccer: A Management Game 2017","May 24, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Forever Young Games, Andrea Hochstein","Forever Young Games"
"7603","Billiards","Sep 6, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"7604","Roulette Simulator 2","Dec 31, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FlagmanJeremy","FlagmanJeremy"
"7605","The Arab Republic of Taghia","Jul 16, 2020","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Oppressive Games","Oppressive Games"
"7606","Nature Treks: Together","Dec 17, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","John Carline, Greener Games","Greener Games"
"7607","Draft Day Sports: Pro Football 2022","Oct 14, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"7608","Dark Haunting","Mar 17, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OrangutanLeMonk","OrangutanLeMonk"
"7609","Range Day VR","Aug 9, 2017","$15.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Invidious Studios","Invidious Studios"
"7610","BADASS","Apr 7, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Toothless T-Rex","大きくて強い"
"7611","Life and Debt: A Real Life Simulator","Feb 28, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Static City Games","Static City Games"
"7612","Bakery Biz Tycoon","Nov 25, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bango.Games","Bango.Games"
"7613","Infanticide | インファンティサイド","Sep 24, 2020","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","838s Maniacs","838s Maniacs"
"7614","BE HUNTED","Dec 21, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mystery Soul's","Mystery Soul's"
"7616","Ahros: One Warrior Chronicle","Sep 29, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","4 I Lab","4 I Lab"
"7617","King Of Dirt","Feb 28, 2017","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WildLabs","WildLabs"
"7618","God of Failure","Dec 19, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Axyos Games","Axyos Games"
"7619","Empires Of Creation","Nov 20, 2015","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bundle Of Sticks Studios",""
"7621","Heavens Tournament","Apr 16, 2020","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","InitiativeVR","InitiativeVR"
"7622","RC Flight Simulator 2020 VR","May 11, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Thetis Games","Thetis Games"
"7623","18层","Mar 17, 2022","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dwall工作室","Dwall工作室"
"7624","Hover Skate VR","Mar 17, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hyper Light Studios","Hyper Light Studios"
"7625","AEGYPTUS","Aug 15, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","L.C.","JustPlayNow"
"7626","Creature Hunt","Apr 10, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Bisquit Play","Bisquit Play"
"7627","The Future You've Been Dreaming Of","Jul 14, 2022","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","qureate","qureate"
"7628","Craft and Dungeon","Apr 3, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Victor Corradi","Corradi Games"
"7629","Blaster Simulator","Apr 28, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Independent Entertainment","United Independent Entertainment"
"7630","World of Feudal","Jun 15, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ImperiumGame","ImperiumGame"
"7632","Assault Corps 2","Jul 16, 2015","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AOS GAME","AOS GAME"
"7633","Apollo4x","May 5, 2015","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Entertainment","Digital Entertainment"
"7634","Airport Master","Feb 17, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","STICLI Games","STICLI Games"
"7635","New York Taxi Simulator","Mar 4, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Little Freedom Factory","United Independent Entertainment"
"7636","BlackSimulator","Aug 31, 2018","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Justin Fox Media","Justin Fox Media"
"7637","灵界  Sprites（测试版）","Apr 25, 2018","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","秀儿工作室","秀儿工作室"
"7638","Cattle Admission Challenge","Jan 6, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Revmatek","Revmatek"
"7639","AlCHeMoS","Feb 15, 2022","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hooting Banana Studios","Hooting Banana Studios"
"7640","ShemHaMephorash","Mar 29, 2023","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SignTyche, Tyche's Bookshelf","Tyche's Bookshelf"
"7641","Buggy Game","Mar 9, 2022","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Properly Decent","Properly Decent"
"7642","Human or Not","Jan 20, 2023","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Haguy Eis","Eis Interactive"
"7643","Epic Astro Story","Oct 10, 2022","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kairosoft Co.,Ltd","Kairosoft Co.,Ltd"
"7644","Trouble in Tornado Town","Jan 5, 2023","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Abducted Monkeys","Abducted Monkeys"
"7645","Kinacoustic","May 4, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Maithonis Studios","Maithonis Studios"
"7646","Adelantado Trilogy. Book Two","Dec 1, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Whiterra","Qumaron"
"7648","OmegaBot","Jun 16, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Simon Carny","Simon Carny"
"7649","Pill Puzzle: One Move","Jul 29, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Coffee Studio","Coffee Studio"
"7650","天气","Sep 21, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Grainrain Studio","Grainrain Studio"
"7651","Nonno Lorenzo","Oct 6, 2022","$12.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Enoki Games","Enoki Games"
"7652","2MD:VR Football Unleashed ALL✰STAR","Sep 20, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Truant Pixel, LLC","Truant Pixel, LLC"
"7653","Weekend Warriors MMA","Feb 5, 2023","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MDickie","MDickie"
"7654","Archery Simulator","Mar 13, 2023","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DNZY Games","DNZY Games"
"7655","Northern Tale 2","Dec 1, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Realore","Qumaron"
"7656","DarkSpace 暗宇战纪","Aug 23, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BlackSpace Games","BlackSpace Games"
"7657","Grit Paintball","Jun 18, 2020","$13.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Infima Labs","Infima Labs"
"7659","Uphold The Realm","Jan 15, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alkaline Development LLC","Alkaline Development LLC"
"7660","Spaceship Simulator","Aug 7, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JinDing Chen","JinDing Chen"
"7661","Grammarian Ltd","Apr 19, 2022","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Algorocks, Simpleton","Algorocks"
"7662","Wild Adventures","Mar 25, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7663","Drifting Kings","Sep 1, 2022","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xtreme Entertainment","Xtreme Entertainment"
"7664","Babysitter Simulator","Jun 25, 2022","$4.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KOA BOA","KOA BOA"
"7665","Aero Striker - World Invasion","Oct 19, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EpiXR Games UG","EpiXR Games UG"
"7666","MEGALOMANIAC","Apr 26, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Elmwood Game Studios","Rich Savage Global Media"
"7667","Storm of Jigsaw Puzzles  拼图风暴","Oct 17, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AppleCoffee","AppleCoffee"
"7668","Colibri XR Immersive Art Gallery","Dec 15, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Colibri XR GmbH","Colibri XR GmbH"
"7669","Automation","Jan 24, 2022","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","One Tree Hill Studios","One Tree Hill Studios"
"7670","Ping Pong Pufferfish","Dec 4, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Xenon Lu","WELOVEBOT CO., LTD."
"7671","HardWorker Simulator","Feb 18, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7672","Shadow Running","Jan 31, 2022","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pixel GL","  Gales Corp.   "
"7673","ChaosTower","Feb 23, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CashcowGames","CashcowGames"
"7674","RunVR","Jun 19, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Smoketree Studios","Smoketree Studios"
"7675","World Builder","Mar 14, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Guruji VR, Inc","Guruji VR, Inc"
"7676","Galactic Keep","Apr 5, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gilded Skull Games","Gilded Skull Games"
"7677","Pixel Arcade","Apr 2, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Corrie Green","CJG Studio Ltd"
"7678","The Hardest Dungeon","Nov 29, 2018","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pippala Games","Pippala Games"
"7679","ECCHI NEKO GIRLS PUZZLE","Mar 21, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","NEXION","NEXION X INC."
"7680","Stratos","Jul 17, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","New State","New State"
"7681","Bakemono - Demon Brigade Tenmen Unit 01","May 4, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SuperSane Games","SuperSane Games"
"7682","Eat or DIE!","Oct 6, 2020","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Big Studio","The Big Studio"
"7683","Hot Summer","Jun 7, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","玫瑰工作室","玫瑰工作室"
"7684","Rugby Union Team Manager 4","Nov 30, 2022","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alternative Software Ltd","Alternative Software Ltd"
"7685","Kai Yuan","Mar 13, 2023","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crown Game","Crown Game"
"7686","New Yankee in Santa's Service","May 12, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rionix","ESDigital Games"
"7687","EEP 13","Dec 19, 2016","N/A","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trend Redaktions- und Verlagsgesellschaft mbH","Trend Redaktions- und Verlagsgesellschaft mbH"
"7688","As We Know It","May 8, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jaime Scribbles Games","Jaime Scribbles Games"
"7689","A Bloody Party","Jan 25, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Michaela Laws","Michaela Laws"
"7690","Golf Pool VR","Jul 19, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LastnOni","Frozen Dreams"
"7691","Mini Transport","Feb 20, 2020","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","JinDing Chen","JinDing Chen"
"7692","Industrial Firefighters","Dec 22, 2020","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VIS-Games","SilentFuture"
"7693","Smooth Operators 2","Sep 22, 2022","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Heydeck Games","Heydeck Games"
"7694","以罪之名 / In the name of sin","Oct 29, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","橙光游戏","橙光游戏"
"7695","The Queen of Blackwood High","Feb 15, 2019","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RhinoGearz","RhinoGearz"
"7696","Cyndy","May 16, 2019","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DreamBig Games","DreamBig Games"
"7697","Ne Padai!","Apr 17, 2019","$0.37","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SharF Co.","SharF Co."
"7698","Lenin Simulator","Apr 6, 2022","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","lsimul","lsimul"
"7699","Knot","Feb 8, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Warlock Arts","Warlock Arts"
"7700","Corona Borealis","Jun 3, 2019","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Winter Wolves","Winter Wolves"
"7701","Convenience Store","Oct 3, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ChaoYe Liu","Happy Home Company"
"7702","Starters Orders Classic Horse Racing","Mar 7, 2020","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategic Designs Ltd.","Strategic Designs Ltd."
"7703","Tinseltown Tycoon","May 12, 2020","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Caffeinedependent Software","Caffeinedependent Software"
"7704","The Killer of Dishonor","May 7, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7705","Space Tower Defense","Sep 9, 2021","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"7706","Mouse Hunter","Jun 20, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Stas Paty9mkin","Piece Of Voxel"
"7707","Unlock Kimono Cuties","Apr 8, 2022","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","William at Oxford","William at Oxford"
"7708","Stardust Exile","Feb 17, 2023","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Apseren","Apseren"
"7709","Wildlife Park - Wild Creatures","Apr 1, 2015","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","b-alive gmbh","b-alive gmbh"
"7710","The Inner Sea","Mar 30, 2016","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","dsquare","dsquare"
"7711","BLIK","Feb 6, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DimleTeam","DimleTeam"
"7712","Horse World","Mar 26, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Crenetic GmbH Studios","familyplay"
"7713","Rise: The Vieneo Province","Feb 4, 2020","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Unistellar Industries, LLC","Unistellar Industries, LLC"
"7714","Monster Collector","Feb 19, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","go go go studio","go go go studio"
"7715","The Great Plague Exodus","Feb 5, 2021","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Priory Games","Priory Games"
"7716","Warplane inc.","Jun 8, 2021","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nuclear Games","Nuclear Games"
"7717","Park Life - Circuit of Happiness -","Nov 6, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","RedLeg","RedLeg"
"7718","Wildlife Planet: The Incremental","Aug 25, 2022","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CapPlay Interactive Inc.","CapPlay Interactive Inc."
"7719","Bicyclism EP","Nov 14, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Acid Cat","Acid Cat"
"7720","Infinite Gateway","Oct 5, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","hf Production","hf Production"
"7722","Anima","Sep 26, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Revera Corporation","The Revera Corporation"
"7723","Virus Petya","Feb 13, 2018","$10.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Laush Dmitriy Sergeevich","Laush Studio"
"7724","Hentai Hexa Mosaic","Sep 14, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolfgangis","Wolfgangis"
"7725","同居指南 | Cohabitation Guide","Jul 12, 2019","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CCYY","CCYY"
"7726","NEET simulator","Jan 5, 2019","$1.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SilverBlade","SilverBlade"
"7727","Spooky Shooter 3D","Jan 14, 2022","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7728","Task Force 1942: Surface Naval Action in the South Pacific","Nov 6, 2014","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MicroProse Software, Inc","Retroism, Nightdive Studios"
"7729","City Bus Driver Simulator","Sep 15, 2022","$0.27","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"7730","Demigods","Oct 15, 2015","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Realore","Qumaron"
"7731","Detached: Non-VR Edition","Jul 24, 2018","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Anshar Studios","Anshar Studios"
"7732","Spot Girls Difference","Jan 25, 2019","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Puzzle Game","Puzzle Game"
"7733","Biathlon Battle VR","Feb 13, 2020","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Academtech LLC","Animar Games"
"7734","Detective Story: Reporter","Jul 16, 2021","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","LTZinc","LTZinc"
"7736","Knights of the Sky","Apr 1, 2015","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MicroProse Software, Inc","Nightdive Studios, Retroism"
"7737","Alpine - The Simulation Game","Nov 23, 2021","$24.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HR Innoways","Aerosoft GmbH"
"7738","Seasteader","Feb 24, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cosy Goat","Cosy Goat"
"7739","Book Of Merlin","Jul 22, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","乐客游戏","乐客游戏"
