Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Lantern of Worlds - The Story of Layla,2019-04-09,0.0,"0 .. 20,000",Fasold Games,Fasold Games,0.00E+00,2.00E+04,0,20.0K
Knightfall,2017-09-04,,"0 .. 20,000",Static City Games,Static City Games,0.00E+00,2.00E+04,0,20.0K
Bhavacakra Maco,2019-07-10,0.0,"0 .. 20,000",Two Clusters,Two Clusters,0.00E+00,2.00E+04,0,20.0K
World left Behind,2019-09-07,0.0,"0 .. 20,000",keron veal,keron veal,0.00E+00,2.00E+04,0,20.0K
Beyond DAWN,2020-06-15,0.0,"0 .. 20,000","Marcus Allard, Fredrik Öberg",Mercury Studios,0.00E+00,2.00E+04,0,20.0K
Dawn's Light 2,2016-11-08,,"0 .. 20,000",John Wizard,John Wizard,0.00E+00,2.00E+04,0,20.0K
Oblivion Tesseract VR,2017-04-19,0.0,"0 .. 20,000",Epotech,Epotech,0.00E+00,2.00E+04,0,20.0K
アルティメットダンジョン「紅」,2020-05-16,0.0,"0 .. 20,000",Sapphire Create.,Sapphire Create.,0.00E+00,2.00E+04,0,20.0K
Dark Descent: The Blue Rose,2017-07-13,0.0,"0 .. 20,000",Steve Antoniadis,Minibrute Games,0.00E+00,2.00E+04,0,20.0K
Cross of Auria,2017-12-31,0.0,"0 .. 20,000",Hardytier,Hardytier,0.00E+00,2.00E+04,0,20.0K
Voxel Crusade,2020-04-24,0.0,"0 .. 20,000",GamingPugsStudios,GamingPugsStudios,0.00E+00,2.00E+04,0,20.0K
Axegend：Episode I,2020-06-16,0.0,"0 .. 20,000",Subversion Squad Studio,Subversion Squad Studio,0.00E+00,2.00E+04,0,20.0K
Signs of the Sojourner: Prologue,2020-05-29,0.0,"0 .. 20,000",Echodog Games,Echodog Games,0.00E+00,2.00E+04,0,20.0K
Brain Boom,2020-07-10,,"0 .. 20,000",GSE,GSE,0.00E+00,2.00E+04,0,20.0K
Flatspace,2020-01-24,0.0,"0 .. 20,000",Cornutopia Software,Cornutopia Software,0.00E+00,2.00E+04,0,20.0K
Immortal Hero,2020-08-27,0.0,"0 .. 20,000","박재성, 이재승, 이수, 정지현",Team RG,0.00E+00,2.00E+04,0,20.0K
Dino Scourge,2017-12-18,0.0,"0 .. 20,000",Scourgey Works,Scourgey Works,0.00E+00,2.00E+04,0,20.0K
Bubble Tea : game for thinking and imagination,2020-05-21,0.0,"0 .. 20,000",Owen6936,Owen6936,0.00E+00,2.00E+04,0,20.0K
Cryptrunner,2019-05-28,,"0 .. 20,000",fusdev,fusdev,0.00E+00,2.00E+04,0,20.0K
Witan,2016-07-12,0.0,"0 .. 20,000",Imigea Ltd,gamevial,0.00E+00,2.00E+04,0,20.0K
Floresia I : Intemporel,2018-01-24,0.0,"0 .. 20,000",M-slam,M-slam,0.00E+00,2.00E+04,0,20.0K
Echo,2022-12-01,0.0,"0 .. 20,000",Nobody Studio,"Nobody Studio, RMAsia",0.00E+00,2.00E+04,0,20.0K
VALIANT KNIGHTS Typing Battle,2017-03-27,,"0 .. 20,000",BottleCube inc.,BottleCube inc.,0.00E+00,2.00E+04,0,20.0K
Rebirth,2019-02-26,,"0 .. 20,000",Pandora Entertainment,Pandora Entertainment,0.00E+00,2.00E+04,0,20.0K
Midnight Renegade,2020-06-26,0.0,"0 .. 20,000",UltimaMaxima,UltimaMaxima,0.00E+00,2.00E+04,0,20.0K
Skyclimbers,2021-03-01,,"0 .. 20,000",Paratope,Paratope,0.00E+00,2.00E+04,0,20.0K
Hero's everyday life,2021-11-02,0.0,"0 .. 20,000",Enoops,Enoops,0.00E+00,2.00E+04,0,20.0K
Eviron's Chronicles,2021-04-22,0.0,"0 .. 20,000",Time Stealers Studio,Time Stealers Studio,0.00E+00,2.00E+04,0,20.0K
S.A.I.A.'s Awakening: A Robothorium Visual Novel,2019-01-17,,"0 .. 20,000",Quentin Lapeyre,Whisper Games,0.00E+00,2.00E+04,0,20.0K
The Cup,2019-02-01,0.0,"0 .. 20,000",Logan Acree,INCENDIARY ENTERTAINMENT,0.00E+00,2.00E+04,0,20.0K
Crystal Picnic,2015-11-02,,"0 .. 20,000",Nooskewl,Nooskewl,0.00E+00,2.00E+04,0,20.0K
TRANSCEND,2017-12-05,0.0,"0 .. 20,000",Ynor,Ynor,0.00E+00,2.00E+04,0,20.0K
The Journey Home,2016-08-19,0.0,"0 .. 20,000",Michael Chou,Michael Chou VR Lab,0.00E+00,2.00E+04,0,20.0K
