"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3109","Need for Drive - Open World Multiplayer Racing","Feb 17, 2021","$0.39","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Success Games","Success Games, Cristian Manolachi, Atomic Fabrik"
"3112","Blood Bowl: Chaos Edition","Oct 11, 2012","$1.49","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studios","Cyanide Studios"
"3113","Creed: Rise to Glory","Sep 25, 2018","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Survios","Survios"
"3121","STRIDE","Jun 10, 2022","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Joy Way","Joy Way"
"3123","Automobilista","Aug 24, 2016","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Reiza Studios","Reiza Studios"
"3127","Kopanito All-Stars Soccer","Nov 16, 2016","$5.99","N/A (N/A)","200,000 .. 500,000","00:34 (00:11)","Merixgames","Merixgames"
"3129","KartKraft","Nov 1, 2018","$24.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Motorsport Games","Motorsport Games"
"3130","Kabounce","May 29, 2018","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Stitch Heads Entertainment","Stitch Heads Entertainment"
"3134","Absolute Drift","Jul 29, 2015","$3.59","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Funselektor Labs Inc., FlippFly","Funselektor Labs Inc."
"3136","Pool Nation","Oct 18, 2013","$6.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cherry Pop Games","Cherry Pop Games"
"3139","Madden NFL 21","Aug 28, 2020","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Electronic Arts","Electronic Arts"
"3142","WWE 2K19","Oct 8, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Visual Concepts, Yuke's Co., LTD","2K"
"3143","Eleven Table Tennis","Jun 20, 2016","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","For Fun Labs","For Fun Labs"
"3145","The Thrill of the Fight - VR Boxing","Jul 1, 2016","$9.99","N/A (N/A)","200,000 .. 500,000","00:09 (00:03)","Sealost Interactive LLC","Sealost Interactive LLC"
"3146","Robot Roller-Derby Disco Dodgeball","Feb 19, 2015","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Erik Asmussen","Erik Asmussen"
"3147","Madden NFL 22","Aug 19, 2021","$59.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Tiburon","Electronic Arts"
"3148","art of rally","Sep 23, 2020","$14.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Funselektor Labs Inc.","Funselektor Labs Inc."
"3150","GRID","Oct 10, 2019","$19.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Codemasters","Codemasters, Electronic Arts"
"3151","Teamfight Manager","Mar 1, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Team Samoyed","Team Samoyed"
"3153","Undisputed","Jan 31, 2023","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Steel City Interactive","Steel City Interactive"
"3154","Lethal League Blaze","Oct 24, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","01:26 (00:28)","Team Reptile","Team Reptile"
"3155","Automobilista 2","Mar 31, 2020","$39.99","N/A (N/A)","200,000 .. 500,000","05:38 (01:52)","Reiza Studios","Reiza Studios"
"3156","rFactor 2","Mar 28, 2013","$29.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Studio 397","Studio 397"
"3157","PIPE by BMX Streets","Mar 15, 2018","$9.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Mash Games","Mash Games"
"3158","Russian Life Simulator","May 17, 2019","$0.28","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","GosDev Production","Abama Entertainment, GosDev Production"
"3159","Liftoff: FPV Drone Racing","Sep 13, 2018","$19.99","N/A (N/A)","200,000 .. 500,000","01:38 (00:32)","LuGus Studios","LuGus Studios"
"3160","RIDE 4","Oct 8, 2020","$49.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3161","WWE 2K22","Mar 10, 2022","$59.99","N/A (N/A)","200,000 .. 500,000","01:33 (00:31)","Visual Concepts","2K"
"3165","House of Detention","May 29, 2020","$0.27","N/A (N/A)","200,000 .. 500,000","00:42 (00:14)","Aniki, Male Union ♂","Dungeon Master"
"3166","Session: Skate Sim","Sep 22, 2022","$39.99","N/A (N/A)","200,000 .. 500,000","05:04 (03:22)","crea-ture Studios Inc.","Nacon"
"3167","Pro Soccer Online","Nov 15, 2021","$9.99","N/A (N/A)","200,000 .. 500,000","04:53 (05:11)","Skywall Studios LLC","Skywall Studios LLC"
"3169","Football Manager 2023","Nov 7, 2022","$59.99","N/A (N/A)","200,000 .. 500,000","44:22 (31:22)","Sports Interactive","SEGA"
"23","Super Mega Baseball 2","Apr 30, 2018","$19.99","N/A (N/A/83%)","100,000 .. 200,000","00:00 (00:00)","Metalhead Software Inc.","Electronic Arts"
"33","AaAaAA!!! - A Reckless Disregard for Gravity","Sep 3, 2009","$9.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Dejobaan Games, LLC","Dejobaan Games, LLC"
"34","TrackMania² Canyon","Feb 27, 2013","$19.99","N/A (N/A/81%)","100,000 .. 200,000","00:00 (00:00)","Nadeo","Ubisoft"
"35","PRO EVOLUTION SOCCER 2018","Sep 13, 2017","N/A","N/A (N/A/81%)","100,000 .. 200,000","10:36 (03:32)","Konami Digital Entertainment Co., Ltd.","Konami Digital Entertainment"
"42","Cursed to Golf","Aug 18, 2022","$19.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Chuhai Labs","Thunderful Publishing"
"45","Super Mega Baseball 3","May 13, 2020","$4.49","N/A (N/A/80%)","100,000 .. 200,000","00:30 (00:17)","Metalhead Software Inc.","Electronic Arts"
"46","Lonely Mountains: Downhill","Oct 23, 2019","$19.99","N/A (N/A/80%)","100,000 .. 200,000","00:00 (00:00)","Megagon Industries","Thunderful Publishing"
"57","OlliOlli","Jul 22, 2014","$12.99","N/A (N/A/78%)","100,000 .. 200,000","00:00 (00:00)","Roll7, General Arcade","Devolver Digital"
"70","Captain Tsubasa: Rise of New Champions","Sep 28, 2020","$59.99","N/A (N/A/75%)","100,000 .. 200,000","48:02 (24:01)","TAMSOFT CORPORATION","BANDAI NAMCO Entertainment"
"78","Blood Bowl - Legendary Edition","Oct 28, 2010","$9.99","N/A (N/A/73%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studios","Cyanide Studios"
"84","DIRT 5","Nov 5, 2020","$17.99","N/A (N/A/72%)","100,000 .. 200,000","00:47 (00:15)","Codemasters","Codemasters, Electronic Arts"
"87","Pro Cycling Manager 2017","Jun 15, 2017","$9.99","N/A (N/A/71%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studio","Focus Entertainment"
"89","The Golf Club","Aug 19, 2014","$29.99","N/A (N/A/70%)","100,000 .. 200,000","01:00 (00:20)","HB Studios","HB Studios"
"96","Pro Cycling Manager 2018","Jun 28, 2018","$14.99","N/A (N/A/69%)","100,000 .. 200,000","00:00 (00:00)","Cyanide Studio","Focus Entertainment"
"100","FIM Speedway Grand Prix 15","Nov 30, 2015","N/A","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","SoftPlanet","SoftPlanet"
"102","RIDE","Mar 27, 2015","$19.99","N/A (N/A/68%)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"104","Ride 2","Oct 7, 2016","$29.99","N/A (N/A/67%)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"107","Pro Cycling Manager 2019","Jun 27, 2019","$9.99","N/A (N/A/66%)","100,000 .. 200,000","00:41 (00:20)","Cyanide Studio","Nacon"
"119","Gravel","Feb 27, 2018","$19.99","N/A (N/A/62%)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"128","Urban Trial Freestyle","Sep 18, 2013","$0.69","N/A (N/A/58%)","100,000 .. 200,000","00:00 (00:00)","Tate Multimedia","Tate Multimedia"
"133","Dangerous Golf","Jun 2, 2016","$19.99","N/A (N/A/54%)","100,000 .. 200,000","00:00 (00:00)","Three Fields Entertainment","Three Fields Entertainment"
"298","Viking Trickshot","May 3, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Doodad Games, Ethan Close","Doodad Games"
"339","Dream Golf VR","Nov 3, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Isaac Stearns","Isaac Stearns"
"345","Malzbie's Pinball Collection","Oct 27, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Malzbie Games","Malzbie Games"
"362","Engine Evolution","May 8, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Petr Šimůnek","Petr Šimůnek"
"365","Jackpot Poker by PokerStars","Mar 20, 2017","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","PokerStars Mobile Limited","PokerStars Mobile Limited"
"370","Incline","Oct 9, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Homewreckers Studio","Homewreckers Studio"
"371","NOKBAK","Jun 13, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","BYU Animation -  Class of 2017","Brigham Young University"
"374","AXIOM SOCCER","Apr 11, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Earthbound Games Ltd.","Earthbound Games Ltd."
"375","Pixel Puzzles Traditional Jigsaws","Nov 18, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:01 (00:00)","Pixel Puzzles","Pixel Puzzles"
"376","RoShamBo","Jul 14, 2016","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Blam! Games LLC","Blam! Games LLC"
"378","PLANES ATTACK","May 6, 2019","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SRS Games","SRS Games"
"386","Swing Dunk","Sep 15, 2021","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Bucketplay Inc.","Bucketplay Inc."
"387","The Fishing Club 3D","Mar 23, 2017","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Robot Riot UG (haftungsbeschränkt)","Robot Riot UG (haftungsbeschränkt)"
"393","Rekt: Crash Test","Dec 3, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Little Chicken Game Company","No Gravity Games"
"394","Riding Club Championships","Sep 27, 2016","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Artplant","Artplant"
"398","Blackjack Championship","Aug 25, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:29 (00:09)","BBstudio Inc.","BBstudio Inc."
"408","Just Fishing","Dec 15, 2017","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Just Fishing LLC","Just Fishing LLC"
"410","Epigenesis","Aug 1, 2014","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dead Shark Triplepunch","Dead Shark Triplepunch"
"414","Circle of Sumo: Online Rumble!","Oct 17, 2020","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Yonder, Strelka Games","Strelka Games"
"421","Spellsworn","Mar 13, 2018","Free","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Frogsong Studios","Frogsong Studios"
"885","Stack Defense","Dec 22, 2020","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Area 1","Area 1"
"1309","Cyclemania","Jan 1, 1994","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Compro Games, Accolade","Ziggurat"
"1445","Qorena","Feb 6, 2018","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Néotl Empire","Néotl Empire"
"1695","Matt's Project Zombies: Open World","Dec 7, 2020","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Matt Sowards","Ravesta Games"
"2239","Traffic City","Feb 18, 2022","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","ChangeMe","ChangeMe"
"2379","""Glow Ball"" - The billiard puzzle game","Jul 20, 2015","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","WTFOMGames","WTFOMGames"
"2503","Skater 2D","Nov 2, 2016","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Mihai Morosanu","Mihai Morosanu"
"2504","3 Coins At School","Apr 20, 2016","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","89AM Studio","89AM Studio"
"2600","Turbo Sliders Unlimited","Apr 27, 2022","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Antti Mannisto","Antti Mannisto"
"2676","Elysium: Blood Games","Jan 5, 2016","$0.28","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SimProse Studios","Trinity Project"
"2794","HyperBrawl Tournament","Oct 20, 2020","$5.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milky Tea Studios","Milky Tea Studios"
"2930","Axis Football 2015","Jul 15, 2015","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Axis Games","Axis Games"
"2947","Lamp Head","Jun 1, 2017","$3.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Oriplay","Cristian Manolachi, Atomic Fabrik"
"2973","Drift Horizon Online","Mar 23, 2017","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","JDM4iK Games","SA Industry"
"2985","Shufflepuck Cantina Deluxe","Dec 6, 2013","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Agharta Studio","Agharta Studio"
"2994","Cue Club 2: Pool & Snooker","Mar 7, 2016","$9.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Bulldog Interactive","Bulldog Interactive"
"3009","Wordle","Apr 12, 2021","$0.38","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","PreoNus Games","Gigantum Games"
"3010","ConflictCraft","Dec 8, 2016","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Cristian Manolachi, Atomic Fabrik","Cristian Manolachi, Atomic Fabrik"
"3012","WWE 2K BATTLEGROUNDS","Sep 17, 2020","$39.99","N/A (N/A)","100,000 .. 200,000","00:32 (00:10)","Saber Interactive","2K"
"3018","Age of Gladiators","Feb 25, 2016","$0.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Creative Storm Entertainment","Creative Storm Entertainment"
"3020","River City Super Sports Challenge ~All Stars Special~","Dec 17, 2015","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Arc System Works","H2 Interactive Co., Ltd."
"3037","Out of the Park Baseball 19","Mar 22, 2018","N/A","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"3038","Adorables","Mar 30, 2016","$2.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","White Rabbit","Volens Nolens Games"
"3043","MotoGP15","Jun 23, 2015","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3046","SEGA Bass Fishing","Mar 4, 2011","$7.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SEGA","SEGA"
"3047","Zero Gear","Jan 12, 2010","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Brian Cronin","Brian Cronin"
"3048","Sports Bar VR","Jun 1, 2016","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Cherry Pop Games, Perilous Orbit","Perilous Orbit"
"3049","MotoGP13","Jun 20, 2013","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"3054","Stilt Fella","Feb 26, 2020","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","September Games","September Games"
"3061","MXGP3 - The Official Motocross Videogame","May 29, 2017","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3063","Real Boxing","Jul 2, 2014","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Vivid Games S.A.","Vivid Games S.A."
"3065","Super Mega Baseball: Extra Innings","Aug 21, 2015","$4.93","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Metalhead Software Inc.","Electronic Arts"
"3074","FootLOL: Epic Soccer League","Apr 16, 2014","$9.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","HeroCraft","HeroCraft PC"
"3080","Blood Bowl 3","Feb 23, 2023","$29.99","N/A (N/A)","100,000 .. 200,000","00:14 (00:09)","Cyanide Studio","Nacon"
"3085","Barro 2020","Nov 1, 2019","$0.49","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SC Jogos","SC Jogos"
"3089","WE ARE FOOTBALL","Jun 10, 2021","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Winning Streak Games","THQ Nordic"
"3090","Castlevania Anniversary Collection","May 16, 2019","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"3092","Euro Fishing","Nov 2, 2015","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Dovetail Games","Dovetail Games - Fishing"
"3094","MX vs ATV All Out","Mar 27, 2018","$39.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Rainbow Studios","THQ Nordic"
"3097","Rocket Arena","Jul 13, 2020","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Final Strike Games","Electronic Arts"
"3108","Chess Ultra","Jun 21, 2017","$12.99","N/A (N/A)","100,000 .. 200,000","00:03 (00:01)","Ripstone","Ripstone"
"3110","MotoGP19","Jun 6, 2019","$24.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3114","ACE Academy","Aug 22, 2016","$19.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","PixelFade","PixelFade"
"3116","The Spike","Jun 5, 2020","$4.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","SUNCYAN studio","PsychoFlux Entertainment"
"3124","Walkabout Mini Golf VR","Jul 15, 2021","$14.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Mighty Coconut","Mighty Coconut"
"3128","Madden NFL 23","Aug 18, 2022","$17.99","N/A (N/A)","100,000 .. 200,000","06:02 (02:00)","Tiburon","Electronic Arts"
"3133","MotoGP20","Apr 23, 2020","$29.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Milestone S.r.l.","Milestone S.r.l."
"3135","Call of the Wild: The Angler","Aug 31, 2022","$29.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Expansive Worlds","Expansive Worlds"
"3137","Fire Pro Wrestling World","Dec 18, 2017","$29.99","N/A (N/A)","100,000 .. 200,000","00:09 (00:03)","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
"3138","Bounty game","Dec 23, 2022","N/A","N/A (N/A)","100,000 .. 200,000","00:03 (00:01)","survivance","Tuborg entertainment"
"3149","Way of the Hunter","Aug 16, 2022","$39.99","N/A (N/A)","100,000 .. 200,000","00:01 (00:00)","Nine Rocks Games","THQ Nordic"
"3152","EZ2ON REBOOT : R","Apr 14, 2022","$44.99","N/A (N/A)","100,000 .. 200,000","00:00 (00:00)","Neonovice Co., Ltd., SQUARE PIXELS","Neonovice Co., Ltd."
"5","Ragnarock","Jul 15, 2021","$24.99","N/A (N/A/87%)","50,000 .. 100,000","00:00 (00:00)","WanadevStudio","WanadevStudio"
"8","Out of the Park Baseball 18","Mar 24, 2017","N/A","N/A (N/A/86%)","50,000 .. 100,000","00:00 (00:00)","Out of the Park Developments","Out of the Park Developments"
"16","GT Legends","Nov 28, 2012","$7.99","N/A (N/A/84%)","50,000 .. 100,000","00:00 (00:00)","SimBin Studios AB","SimBin"
"27","OlliOlli2: Welcome to Olliwood","Aug 11, 2015","$14.99","N/A (N/A/82%)","50,000 .. 100,000","00:21 (00:07)","Roll7","Devolver Digital"
"53","Windjammers 2","Jan 20, 2022","$19.99","N/A (N/A/79%)","50,000 .. 100,000","00:00 (00:00)","Dotemu","Dotemu"
"54","TrackMania² Valley","Jul 4, 2013","$19.99","N/A (N/A/79%)","50,000 .. 100,000","00:00 (00:00)","Nadeo","Ubisoft"
"66","MotoGP14","Jun 20, 2014","$9.99","N/A (N/A/76%)","50,000 .. 100,000","00:00 (00:00)","Milestone S.r.l.","Plug In Digital, Milestone S.r.l."
"77","RUSH","Jul 13, 2018","$19.99","N/A (N/A/73%)","50,000 .. 100,000","00:00 (00:00)","The Binary Mill","The Binary Mill"
"80","Qvadriga","Jun 13, 2014","$19.99","N/A (N/A/72%)","50,000 .. 100,000","00:00 (00:00)","Turnopia","Slitherine Ltd."
"83","The Golf Club 2019 featuring PGA TOUR","Aug 28, 2018","$49.99","N/A (N/A/72%)","50,000 .. 100,000","14:44 (04:54)","HB Studios Multimedia Ltd.","2K"
"97","Bloodsports.TV","Mar 30, 2015","$9.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","Toadman Interactive, Fatshark","Fatshark"
"98","Devolver Bootleg","Jun 9, 2019","$4.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","doinksoft","Devolver Digital"
"109","AO Tennis 2","Jan 9, 2020","$49.99","N/A (N/A/65%)","50,000 .. 100,000","00:00 (00:00)","Big Ant Studios","Nacon"
"112","Pro Cycling Manager 2016","Jun 16, 2016","$9.99","N/A (N/A/64%)","50,000 .. 100,000","00:00 (00:00)","Cyanide Studio","Nacon"
"117","Vertiginous Golf","May 6, 2015","$9.99","N/A (N/A/63%)","50,000 .. 100,000","00:00 (00:00)","Kinelco & Lone Elk Creative","Fellow Traveller"
"126","Dakar 18","Sep 25, 2018","$29.99","N/A (N/A/59%)","50,000 .. 100,000","00:00 (00:00)","Bigmoon Entertainment","Bigmoon Entertainment, Ravenscourt"
"127","Behold the Kickmen","Jul 20, 2017","$3.99","N/A (N/A/58%)","50,000 .. 100,000","00:00 (00:00)","Size Five Games","Size Five Games"
"130","Jet Car Stunts","May 1, 2014","$2.99","N/A (N/A/57%)","50,000 .. 100,000","00:00 (00:00)","GRIP Digital s.r.o.","bitComposer Games"
"134","Speedball 2 HD","Dec 5, 2013","$9.99","N/A (N/A/53%)","50,000 .. 100,000","00:00 (00:00)","Bitmap Brothers, Vivid Games","Rebellion"
"135","Lords of Football","Apr 5, 2013","$14.99","N/A (N/A/52%)","50,000 .. 100,000","00:00 (00:00)","Geniaware Srl","Fish Eagle"
"236","Tinkr Garage","Oct 9, 2018","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Tinkr, Inc.","Tinkr, Inc."
"255","Pararea--Social VR for Everyone (Beta)","Sep 15, 2017","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Metaverse","Metaverse"
"258","VirZOOM Arcade","Jun 30, 2016","Free","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","VirZOOM","VirZOOM"
"270","Pulseball","Oct 2, 2020","N/A","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Tom Wiggins","Tom Wiggins"
