"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"3295","Metin2","Dec 17, 2006","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","WEBZEN Inc.","Gameforge 4D GmbH"
"3298","Last Man Standing","Mar 29, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"3306","Just Cause 2: Multiplayer Mod","Dec 16, 2013","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Avalanche Studios","Square Enix"
"3308","封灵档案","Mar 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:04 (00:02)","（Hong Kong）GKD","（Hong Kong）GKD"
"3309","The Expendabros","Aug 5, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Lives","Devolver Digital"
"3312","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","29:38 (24:31)","FishSoft, LLC","FishSoft, LLC"
"3317","Cry of Fear","Apr 25, 2013","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:33 (00:42)","Team Psykskallar","Team Psykskallar"
"3318","Rec Room","Jun 1, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:43 (00:14)","Rec Room","Rec Room"
"3319","Just Survive","Jan 15, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","03:13 (01:04)","Daybreak Game Company","Daybreak Game Company"
"3322","Everlasting Summer","Nov 19, 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:03)","Soviet Games","Soviet Games"
"3324","Helltaker","May 11, 2020","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","vanripper","vanripper"
"5787","Heart of a Warrior","Feb 1, 2022","$10.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Techworld Communication","Techworld Communication"
"17957","Orcs Must Die! 3","Jul 23, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Robot Entertainment","Robot Entertainment"
