"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"17998","Darksiders II Deathinitive Edition","Nov 5, 2015","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","01:44 (00:51)","Gunfire Games, Vigil Games, THQ Nordic","THQ Nordic"
"18028","Last Epoch","Apr 30, 2019","$34.99","N/A (N/A)","2,000,000 .. 5,000,000","10:26 (13:03)","Eleventh Hour Games","Eleventh Hour Games"
"18051","Lost Castle / 失落城堡","Aug 31, 2016","$3.99","N/A (N/A)","2,000,000 .. 5,000,000","00:28 (00:18)","Hunter Studio","Neon Doctrine"
"18053","Sniper Elite 3","Jun 27, 2014","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","02:07 (01:31)","Rebellion","Rebellion"
"18058","ORION: Prelude","Apr 16, 2013","$0.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","DANKIE","DANKIE"
"18070","嗜血印 Bloody Spell","Jan 26, 2022","$24.99","N/A (N/A)","2,000,000 .. 5,000,000","00:16 (00:05)","艺龙游戏","艺龙游戏"
"18072","Hero Siege","Jan 29, 2014","$6.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Panic Art Studios Ltd.","Panic Art Studios Ltd."
"18077","Mirror 2: Project X","Jan 20, 2022","$1.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","KAGAMI Ⅱ WORKs","NIJICO"
"18079","Pacify","Feb 22, 2019","$4.99","N/A (N/A)","2,000,000 .. 5,000,000","01:24 (00:28)","Shawn Hitchcock","Hitchcock Games"
"18084","Poppy Playtime","Oct 12, 2021","Free","N/A (N/A)","2,000,000 .. 5,000,000","01:13 (01:03)","Mob Entertainment","Mob Entertainment"
"18087","Gang Beasts","Dec 12, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:36 (01:55)","Boneloaf, Coatsink","Boneloaf"
"18088","太吾绘卷 The Scroll Of Taiwu","Sep 21, 2018","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","ConchShip Games","ConchShip Games"
"18091","Assassin's Creed Unity","Nov 11, 2014","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","02:16 (01:52)","Ubisoft","Ubisoft"
"18095","Sleeping Dogs: Definitive Edition","Oct 8, 2014","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","00:01 (00:00)","United Front Games, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)"
"18098","Watch_Dogs 2","Nov 28, 2016","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","01:27 (01:27)","Ubisoft","Ubisoft"
"18099","The Isle","Dec 1, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","01:41 (01:09)","Afterthought LLC","Afterthought LLC"
"18100","Baldur's Gate 3","Oct 6, 2020","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","09:55 (12:14)","Larian Studios","Larian Studios"
"18101","South Park: The Stick of Truth","Mar 3, 2014","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","01:44 (01:36)","Obsidian Entertainment","Ubisoft"
"18102","Days Gone","May 17, 2021","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","04:45 (02:12)","Bend Studio","PlayStation PC LLC"
"18103","V Rising","May 17, 2022","$15.99","N/A (N/A)","2,000,000 .. 5,000,000","02:44 (01:16)","Stunlock Studios","Stunlock Studios"
"18104","Marvel’s Spider-Man Remastered","Aug 12, 2022","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","00:15 (00:09)","Insomniac Games, Nixxes Software","PlayStation PC LLC"
"18105","Tom Clancy's Ghost Recon Wildlands","Mar 6, 2017","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","18:51 (13:51)","Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade","Ubisoft"
"18107","Resident Evil 4","Mar 23, 2023","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","20:23 (16:33)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"18108","SCUM","Aug 29, 2018","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","33:06 (06:58)","Gamepires","Jagex Ltd"
"18111","Subnautica: Below Zero","May 13, 2021","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","02:15 (02:15)","Unknown Worlds Entertainment","Unknown Worlds Entertainment"
"18112","Conan Exiles","May 8, 2018","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","17:54 (26:15)","Funcom","Funcom"
"18113","Middle-earth: Shadow of War","Oct 9, 2017","$49.99","N/A (N/A)","2,000,000 .. 5,000,000","11:17 (16:42)","Monolith Productions","WB Games"
"18115","Gunfire Reborn","Nov 17, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:13 (06:25)","Duoyi Games","Duoyi Games"
"18116","Mirror","Apr 19, 2018","$1.99","N/A (N/A)","2,000,000 .. 5,000,000","00:12 (00:04)","KAGAMI WORKS","Paradise Project"
"18119","Batman: Arkham Knight","Jun 23, 2015","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","05:48 (01:24)","Rocksteady Studios","Warner Bros. Interactive Entertainment"
"18120","Inscryption","Oct 19, 2021","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","04:34 (01:31)","Daniel Mullins Games","Devolver Digital"
"18121","The Long Dark","Aug 1, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","12:12 (08:04)","Hinterland Studio Inc.","Hinterland Studio Inc."
"18123","Ready or Not","Dec 17, 2021","$39.99","N/A (N/A)","2,000,000 .. 5,000,000","02:33 (00:48)","VOID Interactive","VOID Interactive"
"18125","ASTRONEER","Feb 5, 2019","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","02:09 (01:36)","System Era Softworks","System Era Softworks"
"18126","Forza Horizon 5","Nov 8, 2021","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","07:49 (05:48)","Playground Games","Xbox Game Studios"
"18128","Dying Light 2 Stay Human","Feb 3, 2022","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","09:35 (09:27)","Techland","Techland"
"18129","Far Cry 5","Mar 26, 2018","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","04:11 (07:11)","Ubisoft Montreal, Red Storm, Ubisoft Shanghai, Ubisoft Toronto, Ubisoft Kiev","Ubisoft"
"18131","Stray","Jul 19, 2022","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","00:52 (00:52)","BlueTwelve Studio","Annapurna Interactive"
"18132","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","2,000,000 .. 5,000,000","06:19 (09:22)","Expansive Worlds","Expansive Worlds"
"18134","Assassin's Creed Odyssey","Oct 5, 2018","$59.99","N/A (N/A)","2,000,000 .. 5,000,000","10:21 (07:58)","Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft Shanghai","Ubisoft"
"18135","Satisfactory","Jun 8, 2020","$29.99","N/A (N/A)","2,000,000 .. 5,000,000","09:36 (05:50)","Coffee Stain Studios","Coffee Stain Publishing"
"3","Divinity: Original Sin - Enhanced Edition","Oct 27, 2015","$11.99","N/A (N/A/94%)","1,000,000 .. 2,000,000","01:51 (02:59)","Larian Studios","Larian Studios"
"12","Mark of the Ninja","May 1, 1986","$4.99","N/A (N/A/91%)","1,000,000 .. 2,000,000","00:00 (00:00)","Klei Entertainment","Microsoft Studios"
"21","Guild Wars 2","Aug 23, 2022","Free","N/A (N/A/90%)","1,000,000 .. 2,000,000","04:16 (01:47)","ArenaNet®","NCSOFT"
"22","Bayonetta","Apr 11, 2017","$19.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","03:07 (02:04)","PlatinumGames","SEGA"
"23","Brothers - A Tale of Two Sons","Sep 3, 2013","$14.99","N/A (N/A/90%)","1,000,000 .. 2,000,000","00:00 (00:00)","Starbreeze Studios AB","505 Games"
"45","Assassin’s Creed Brotherhood","Mar 22, 2011","$19.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","29:24 (09:48)","Ubisoft Montreal","Ubisoft"
"49","Celeste","Jan 25, 2018","$19.99","N/A (N/A/88%)","1,000,000 .. 2,000,000","04:06 (01:32)","Extremely OK Games, Ltd.","Maddy Makes Games Inc."
"66","HITMAN 3","Jan 20, 2022","$69.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","18:33 (14:26)","IO Interactive A/S","IO Interactive A/S"
"67","Divinity: Original Sin (Classic)","Jun 30, 2014","$11.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Larian Studios","Larian Studios"
"68","The Witness","Jan 26, 2016","$39.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","Thekla, Inc.","Thekla, Inc."
"74","OMORI","Dec 25, 2020","$19.99","N/A (N/A/87%)","1,000,000 .. 2,000,000","00:00 (00:00)","OMOCAT, LLC","OMOCAT, LLC"
"90","Her Story","Jun 24, 2015","$9.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","00:00 (00:00)","Sam Barlow","Sam Barlow"
"94","Resident Evil 5","Sep 15, 2009","$19.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","02:45 (01:24)","Capcom","Capcom"
"96","Yakuza 0","Aug 1, 2018","$19.99","N/A (N/A/86%)","1,000,000 .. 2,000,000","15:41 (23:53)","Ryu Ga Gotoku Studio","SEGA"
"116","AMID EVIL","Jun 20, 2019","$19.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Indefatigable","New Blood Interactive"
"127","Rogue Legacy","Jun 27, 2013","$14.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Cellar Door Games","Cellar Door Games"
"128","DmC: Devil May Cry","Jan 24, 2013","$29.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:58 (00:37)","Ninja Theory","Capcom"
"129","The Talos Principle","Dec 11, 2014","$29.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Croteam","Devolver Digital, Croteam"
"131","The Wolf Among Us","Oct 11, 2013","$14.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale","Telltale"
"132","Control Ultimate Edition","Aug 27, 2020","$39.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","00:00 (00:00)","Remedy Entertainment","505 Games"
"133","Outer Wilds","Jun 18, 2020","$24.99","N/A (N/A/85%)","1,000,000 .. 2,000,000","04:58 (09:21)","Mobius Digital","Annapurna Interactive"
"169","ICEY","Nov 17, 2016","$10.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","00:00 (00:00)","FantaBlade Network","XD"
"175","Planet Coaster","Nov 17, 2016","$11.24","N/A (N/A/84%)","1,000,000 .. 2,000,000","12:49 (07:27)","Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)"
"176","GRIS","Dec 13, 2018","$16.99","N/A (N/A/84%)","1,000,000 .. 2,000,000","04:33 (01:31)","Nomada Studio","Devolver Digital"
"211","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Pocketwatch Games","Humble Games"
"216","The Riftbreaker","Oct 14, 2021","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","11:32 (07:41)","EXOR Studios","EXOR Studios, Surefire.Games"
"226","Hellblade: Senua's Sacrifice","Aug 8, 2017","$29.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ninja Theory","Ninja Theory"
"229","Grim Dawn","Feb 25, 2016","$24.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","20:45 (23:20)","Crate Entertainment","Crate Entertainment"
"279","Not For Broadcast","Jan 25, 2022","$24.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","NotGames","tinyBuild"
"284","Monster Hunter Stories 2: Wings of Ruin","Jul 8, 2021","$39.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"287","Children of Morta","Sep 3, 2019","$21.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Dead Mage","11 bit studios"
"288","Antichamber","Jan 31, 2013","$19.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Alexander Bruce","Demruth"
"289","Resident Evil","Jan 19, 2015","$19.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","02:45 (00:55)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
"344","SUNLESS SEA","Feb 6, 2015","$18.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Failbetter Games","Failbetter Games"
"346","Trine 4: The Nightmare Prince","Oct 8, 2019","$7.49","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:47 (00:15)","Frozenbyte","Modus Games"
"348","Far Cry 3 - Blood Dragon","May 1, 2013","$14.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"352","A Plague Tale: Innocence","May 14, 2019","$38.49","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:47 (00:41)","Asobo Studio","Focus Entertainment"
"353","Firewatch","Feb 9, 2016","$19.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:00 (00:00)","Campo Santo","Panic, Campo Santo"
"354","To the Moon","Sep 7, 2012","$9.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","00:55 (00:18)","Freebird Games","Freebird Games"
"356","Slime Rancher","Aug 1, 2017","$19.99","N/A (N/A/81%)","1,000,000 .. 2,000,000","01:14 (01:29)","Monomi Park","Monomi Park"
"416","Knockout City","May 21, 2021","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Velan Studios","Velan Studios"
"424","LEGO The Lord of the Rings","Nov 27, 2012","$19.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"425","Assassin’s Creed III","Nov 20, 2012","N/A","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"427","Assassin's Creed Revelations","Nov 29, 2011","$19.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"428","METAL GEAR SOLID V: GROUND ZEROES","Dec 18, 2014","$19.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Konami Digital Entertainment","Konami Digital Entertainment"
"431","Danganronpa V3: Killing Harmony","Sep 25, 2017","$39.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
"437","The Evil Within 2","Oct 12, 2017","$39.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","05:48 (05:20)","Tango Gameworks","Bethesda Softworks"
"438","The Walking Dead: Season Two","Dec 17, 2013","$14.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Skybound Games"
"442","Detroit: Become Human","Jun 18, 2020","$39.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","02:55 (01:56)","Quantic Dream","Quantic Dream"
"511","Assassin's Creed: Director's Cut Edition","Apr 9, 2008","$19.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Montreal","Ubisoft"
"512","Wizard of Legend","May 15, 2018","$15.99","N/A (N/A/79%)","1,000,000 .. 2,000,000","03:09 (01:03)","Contingent99","Contingent99, Humble Games"
"564","Zero Escape: Zero Time Dilemma","Jun 29, 2016","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd."
"576","Baldur's Gate II: Enhanced Edition","Nov 15, 2013","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:07 (00:02)","Beamdog","Beamdog"
"580","Baldur's Gate: Enhanced Edition","Jan 16, 2013","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","02:59 (00:59)","Beamdog","Beamdog"
"581","LEGO Marvel Super Heroes","Oct 22, 2013","$19.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Traveller's Tales","Warner Bros. Interactive Entertainment"
"582","Shadow Warrior 2","Oct 13, 2016","$29.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:11 (00:03)","Flying Wild Hog","Devolver Digital"
"583","BATTLETECH","Apr 24, 2018","$39.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"585","LEGO Star Wars: The Skywalker Saga","Apr 5, 2022","$49.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","11:26 (01:58)","TT Games","Warner Bros. Games, Warner Bros. Interactive Entertainment"
"586","DRAGON BALL XENOVERSE 2","Oct 27, 2016","$49.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","05:30 (07:44)","QLOC, DIMPS","BANDAI NAMCO Entertainment"
"588","A Way Out","Mar 23, 2018","$29.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","01:13 (01:12)","Hazelight","Electronic Arts"
"590","Green Hell","Sep 5, 2019","$24.99","N/A (N/A/78%)","1,000,000 .. 2,000,000","04:23 (06:58)","Creepy Jar","Creepy Jar"
"650","TERA - Action MMORPG","Jan 31, 2017","N/A","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:01 (00:00)","Bluehole, Inc.","Gameforge 4D GmbH"
"655","Resident Evil Revelations","May 20, 2013","$29.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","01:33 (00:31)","Capcom","Capcom"
"657","Orwell: Keeping an Eye On You","Oct 27, 2016","$9.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:20 (00:06)","Osmotic Studios","Osmotic Studios"
"659","LEGO Star Wars - The Complete Saga","Nov 12, 2009","$19.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:05 (00:01)","Traveller's Tales","LucasArts, Lucasfilm, Disney"
"660","Watch_Dogs","May 26, 2014","$29.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:38 (00:12)","Ubisoft","Ubisoft"
"663","Life is Strange: Before the Storm","Aug 31, 2017","$16.99","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Deck Nine, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"664","Shadow of the Tomb Raider: Definitive Edition","Sep 14, 2018","Free","N/A (N/A/77%)","1,000,000 .. 2,000,000","00:00 (00:00)","Eidos-Montréal, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)","Crystal Dynamics, Feral Interactive (Mac), Feral interactive (Linux)"
"729","Vindictus","Jun 22, 2012","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:26 (00:08)","devCAT","NEXON Korea Corp. & NEXON America Inc."
"735","WAKFU","Sep 18, 2014","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ankama Studio","Ankama Games"
"737","Prototype 2","Jul 24, 2012","$19.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Radical Entertainment","Activision"
"740","Shadowrun Returns","Jul 25, 2013","$9.99","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Harebrained Schemes","Paradox Interactive"
"825","Scribblenauts Unlimited","Nov 19, 2012","$19.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","5th Cell Media","Warner Bros. Interactive Entertainment"
"827","Armello","Sep 1, 2015","$19.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:01 (00:00)","League of Geeks","League of Geeks"
"830","Beholder","Nov 9, 2016","$1.39","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:01 (00:00)","Warm Lamp Games","Alawar Premium"
"831","Outlast 2","Apr 25, 2017","$29.99","N/A (N/A/75%)","1,000,000 .. 2,000,000","02:27 (01:37)","Red Barrels","Red Barrels"
"896","Deponia","Aug 6, 2012","$9.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Daedalic Entertainment","Daedalic Entertainment"
"897","Assassin’s Creed Rogue","Mar 9, 2015","$19.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ubisoft Sofia, Ubisoft Kiev","Ubisoft"
"898","Assassin's Creed Syndicate","Nov 18, 2015","$29.99","N/A (N/A/74%)","1,000,000 .. 2,000,000","02:11 (01:27)","Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios","Ubisoft"
"957","Alan Wake's American Nightmare","May 22, 2012","$8.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:00 (00:00)","Remedy Entertainment","Remedy Entertainment"
"961","Call of Duty: Infinite Warfare","Nov 3, 2016","$59.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:45 (00:28)","Infinity Ward","Activision"
"965","Medieval Dynasty","Sep 23, 2021","$23.44","N/A (N/A/73%)","1,000,000 .. 2,000,000","05:37 (05:28)","Render Cube","Toplitz Productions"
"966","My Time At Portia","Jan 15, 2019","$5.99","N/A (N/A/73%)","1,000,000 .. 2,000,000","00:09 (00:03)","Pathea Games","Pathea Games, Focus Entertainment"
"1030","Amnesia: A Machine for Pigs","Sep 10, 2013","$19.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:00 (00:00)","The Chinese Room","Frictional Games"
"1039","BONEWORKS","Dec 10, 2019","$29.99","N/A (N/A/72%)","1,000,000 .. 2,000,000","00:05 (00:03)","Stress Level Zero","Stress Level Zero"
"1081","The Escapists","Feb 13, 2015","$17.99","N/A (N/A/71%)","1,000,000 .. 2,000,000","00:06 (00:04)","Mouldy Toof Studios","Team17"
"1137","Darksiders III","Nov 27, 2018","$39.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","02:53 (00:57)","Gunfire Games","THQ Nordic"
"1139","Thief","Feb 27, 2014","$19.99","N/A (N/A/70%)","1,000,000 .. 2,000,000","00:14 (00:04)","Eidos-Montréal, Feral Interactive (Mac)","Eidos Interactive Corp., Feral Interactive (Mac)"
"1190","Graveyard Keeper","Aug 15, 2018","$19.99","N/A (N/A/69%)","1,000,000 .. 2,000,000","00:41 (00:27)","Lazy Bear Games","tinyBuild"
"1261","Just Cause 4 Reloaded","Dec 4, 2018","$69.03","N/A (N/A/68%)","1,000,000 .. 2,000,000","00:59 (00:40)","Avalanche Studios","Square Enix"
"1294","Warhammer 40,000: Inquisitor - Martyr","Jun 5, 2018","$49.99","N/A (N/A/67%)","1,000,000 .. 2,000,000","24:32 (16:21)","NeocoreGames","NeocoreGames"
"1371","Sherlock Holmes: The Devil's Daughter","Jun 10, 2016","$29.99","N/A (N/A/65%)","1,000,000 .. 2,000,000","00:00 (00:00)","Frogwares","Frogwares"
"1452","Contagion","Oct 25, 2013","$9.99","N/A (N/A/62%)","1,000,000 .. 2,000,000","01:02 (00:20)","Monochrome, Inc","Monochrome, Inc"
"1453","Need for Speed Payback","Nov 6, 2017","$29.99","N/A (N/A/62%)","1,000,000 .. 2,000,000","02:00 (01:55)","Ghost Games","Electronic Arts"
"1454","Mafia III: Definitive Edition","May 19, 2020","$9.89","N/A (N/A/62%)","1,000,000 .. 2,000,000","09:07 (06:04)","Hangar 13, Aspyr (Mac)","2K, Aspyr (Mac)"
"1493","How to Survive","Oct 23, 2013","$14.99","N/A (N/A/60%)","1,000,000 .. 2,000,000","00:00 (00:00)","Eko Software","505 Games"
"1510","The Descendant","Mar 24, 2016","$14.99","N/A (N/A/59%)","1,000,000 .. 2,000,000","03:32 (02:32)","Gaming Corps AB","Microids Indie, Microids"
"1512","Murdered: Soul Suspect","Jun 3, 2014","$19.99","N/A (N/A/59%)","1,000,000 .. 2,000,000","00:00 (00:00)","Airtight Games","Square Enix"
"1665","Dragons and Titans","Mar 12, 2014","N/A","N/A (N/A/43%)","1,000,000 .. 2,000,000","00:00 (00:00)","Wyrmbyte","Versus Evil"
"1738","Ring of Fire: Prologue","Dec 15, 2020","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","de Fault, Chard","Far Few Giants"
"2942","Sam & Max 104: Abe Lincoln Must Die!","Feb 22, 2007","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Telltale Games","Telltale Games"
"3099","Space Pilgrim Episode I: Alpha Centauri","Dec 14, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, TheGamesFortress"
"3207","School of Dragons","Dec 4, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:12 (00:04)","JumpStart Games, Inc.","JumpStart Games, Inc."
"3222","BrainBread 2","Jul 20, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Reperio Studios","Reperio Studios"
"3225","Bless Online","Oct 23, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","NEOWIZ BLESS STUDIO","NEOWIZ"
