Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
FAIRY TAIL,2020-07-29,59.99,"50,000 .. 100,000","KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,1,0,0,2020.0,5
Initial Drift Online,2023-03-30,4.99,"50,000 .. 100,000",RewindApp,RewindApp,5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,1,0,1,1,2023.0,11
Night Wanderings,2021-04-23,1.99,"50,000 .. 100,000",Luci Entertainment,Luci Entertainment,5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,1,2021.0,17
GAME TUBE ♛,2017-12-14,9.99,"50,000 .. 100,000",Hede,Hede,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,1,0,1,0,0,0,1,1,2017.0,18
Robert: Space Stories and Battles,2022-03-08,1.99,"50,000 .. 100,000",Dnovel,Dnovel,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,1,0,1,2022.0,19
NightmareZ,2016-09-08,3.99,"50,000 .. 100,000",Anamik Majumdar,Anamik Majumdar,5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,1,2016.0,20
Fated Souls 3,2017-03-10,4.99,"50,000 .. 100,000",Warfare Studios,Warfare Studios,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,0,0,0,1,0,1,2017.0,13
Castle Defense Battles,2022-11-13,0.59,"50,000 .. 100,000",Boogygames Studios,Boogygames Studios,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,1,0,0,0,0,1,2022.0,14
Captain vs Sky Pirates,2017-10-10,0.59,"50,000 .. 100,000",Boogygames Studios,Boogygames Studios,5.00E+04,100000.0,50.0K,100.0K,igual,1,1,0,0,1,0,0,0,0,1,2017.0,14
Bonegard,2021-04-01,0.49,"50,000 .. 100,000",ImperiumGame,Gales Corp.,5.00E+04,100000.0,50.0K,100.0K,distinto,1,0,0,0,0,0,0,0,0,1,2021.0,21
