Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Greed 3: Old Enemies Returning,2019-03-11,7.99,"0 .. 20,000",Urchin Games,HH-Games,0.00E+00,2.00E+04,0,20.0K
Legend of the Tetrarchs,2019-07-25,14.99,"0 .. 20,000","Hit-Point Co.,Ltd.",KEMCO,0.00E+00,2.00E+04,0,20.0K
Fateline(命运线),2019-08-16,2.99,"0 .. 20,000","匿蝶网络, Tower Games",Tower Games,0.00E+00,2.00E+04,0,20.0K
Cyberpunk Madness,2021-03-12,0.99,"0 .. 20,000",LTZinc,LTZinc,0.00E+00,2.00E+04,0,20.0K
Kitty Adventure,2021-08-11,0.99,"0 .. 20,000",ImperiumGame,ImperiumGame,0.00E+00,2.00E+04,0,20.0K
Line of War,2021-05-22,0.99,"0 .. 20,000",LTZinc,LTZinc,0.00E+00,2.00E+04,0,20.0K
Puzzle Park,2022-10-05,8.99,"0 .. 20,000",SVGames,SVGames,0.00E+00,2.00E+04,0,20.0K
Oathbreakers,2022-10-18,19.99,"0 .. 20,000",Warcrown Entertainment,Warcrown Entertainment,0.00E+00,2.00E+04,0,20.0K
Drawn: Trail of Shadows Collector's Edition,2017-02-14,9.99,"0 .. 20,000",Big Fish Studios,Big Fish Games,0.00E+00,2.00E+04,0,20.0K
Go All Out,2019-06-06,12.99,"0 .. 20,000",Blue Sunset Games,"Saurus Digital, Console Labs S.A.",0.00E+00,2.00E+04,0,20.0K
Pizza Ghest,2022-01-21,0.0,"0 .. 20,000",bagheads,bagheads,0.00E+00,2.00E+04,0,20.0K
Quest room,2022-10-21,9.99,"0 .. 20,000",Dusty Game,Dusty Game,0.00E+00,2.00E+04,0,20.0K
M1: A Death in the Desert,2017-08-08,2.99,"0 .. 20,000",Dracula's Cave,Dracula's Cave,0.00E+00,2.00E+04,0,20.0K
Hero or Villain: Genesis,2019-09-19,6.99,"0 .. 20,000",Hosted Games,Hosted Games,0.00E+00,2.00E+04,0,20.0K
Ginseng Hero,2020-03-31,2.99,"0 .. 20,000",Sokpop Collective,Sokpop Collective,0.00E+00,2.00E+04,0,20.0K
Pandemic Isolation,2020-06-09,5.99,"0 .. 20,000",Maxim Arefiev,Maxim Arefiev,0.00E+00,2.00E+04,0,20.0K
TOOTHY HISTORY,2021-03-20,10.99,"0 .. 20,000",NL Studio,HandMade Games,0.00E+00,2.00E+04,0,20.0K
Shark Assault Simulator,2022-06-10,44.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi",0.00E+00,2.00E+04,0,20.0K
JETT: The Far Shore + Given Time,2023-01-31,29.99,"0 .. 20,000","Superbrothers, Pine Scented",Superbrothers,0.00E+00,2.00E+04,0,20.0K
40 Winks,1999-11-14,12.99,"0 .. 20,000",Eurocom,"Piko Interactive LLC, Bleem!",0.00E+00,2.00E+04,0,20.0K
ANDERSON,2022-01-13,4.99,"0 .. 20,000",AJRPG,AJRPG,0.00E+00,2.00E+04,0,20.0K
Ankh 3: Battle of the Gods,2009-06-16,9.99,"0 .. 20,000",Deck 13,Strategy First,0.00E+00,2.00E+04,0,20.0K
Arkane Rush,2018-10-19,2.99,"0 .. 20,000",Mafu Games,Mafu Games,0.00E+00,2.00E+04,0,20.0K
Latte Stand Tycoon,2019-01-26,3.99,"0 .. 20,000",Inner Realm Studios,GrabTheGames,0.00E+00,2.00E+04,0,20.0K
Block of Rum,2019-02-05,1.99,"0 .. 20,000",Obi-Wanya,Obi-Wanya,0.00E+00,2.00E+04,0,20.0K
Startup Valley Adventure,2020-07-30,12.99,"0 .. 20,000",Fair Games Studio,"Fair Games Studio, Pleasant Rain Ltd",0.00E+00,2.00E+04,0,20.0K
Gene Rain:Wind Tower,2020-01-03,12.99,"0 .. 20,000",Deeli Network,Deeli Network,0.00E+00,2.00E+04,0,20.0K
Dice Rollers,2021-01-15,4.99,"0 .. 20,000",Amateur Sloth,Amateur Sloth,0.00E+00,2.00E+04,0,20.0K
The Gallery,2022-09-08,14.99,"0 .. 20,000",Aviary Studios,Aviary Studios,0.00E+00,2.00E+04,0,20.0K
GAIA 2200,2017-08-02,3.99,"0 .. 20,000",QEGAME,QEGAME,0.00E+00,2.00E+04,0,20.0K
One Last Memory,2021-11-05,9.99,"0 .. 20,000",EpiXR Games UG,EpiXR Games UG,0.00E+00,2.00E+04,0,20.0K
Twelve Floors Below.,2022-05-31,3.0,"0 .. 20,000",Three Buck Games,Three Buck Games,0.00E+00,2.00E+04,0,20.0K
TAIKER,2016-11-30,4.99,"0 .. 20,000",Team 4U,Team 4U,0.00E+00,2.00E+04,0,20.0K
Smoked Gun,2021-01-15,0.99,"0 .. 20,000",LTZinc,Big Black Bear,0.00E+00,2.00E+04,0,20.0K
Mighty Vikings,2021-02-17,0.79,"0 .. 20,000",Enoops,Enoops,0.00E+00,2.00E+04,0,20.0K
The Zombie Smasher,2022-01-18,9.99,"0 .. 20,000","Atomic Fabrik, Cristian Manolachi",Cristian Manolachi,0.00E+00,2.00E+04,0,20.0K
Messiah,2000-03-31,14.99,"0 .. 20,000",Shiny Entertainment,interplay,0.00E+00,2.00E+04,0,20.0K
