Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Homeworld Remastered Collection,2015-02-25,34.99,"1,000,000 .. 2,000,000","Gearbox Software, Aspyr (Mac)","Gearbox Publishing, Aspyr (Mac)",1.00E+06,2.00E+06,1.0M,2.0M
Shadow Tactics: Blades of the Shogun,2016-12-06,39.99,"1,000,000 .. 2,000,000",Mimimi Games,Daedalic Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
"Warhammer 40,000: Dawn of War II Chaos Rising",2010-03-10,19.99,"1,000,000 .. 2,000,000","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",1.00E+06,2.00E+06,1.0M,2.0M
Planet Coaster,2016-11-17,11.24,"1,000,000 .. 2,000,000","Frontier Developments, Aspyr (Mac)","Frontier Developments, Aspyr (Mac)",1.00E+06,2.00E+06,1.0M,2.0M
Sid Meier's Civilization IV: Colonization,2008-09-23,19.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,1.00E+06,2.00E+06,1.0M,2.0M
Orcs Must Die!,2011-10-11,9.99,"1,000,000 .. 2,000,000",Robot Entertainment,Robot Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
Monaco: What's Yours Is Mine,2013-04-24,14.99,"1,000,000 .. 2,000,000",Pocketwatch Games,Humble Games,1.00E+06,2.00E+06,1.0M,2.0M
The Riftbreaker,2021-10-14,29.99,"1,000,000 .. 2,000,000",EXOR Studios,"EXOR Studios, Surefire.Games",1.00E+06,2.00E+06,1.0M,2.0M
Fallout Tactics: Brotherhood of Steel,2009-08-19,9.99,"1,000,000 .. 2,000,000",14° East,Bethesda Softworks,1.00E+06,2.00E+06,1.0M,2.0M
Command & Conquer: Red Alert 3,2009-01-08,4.99,"1,000,000 .. 2,000,000",EA Los Angeles,Electronic Arts,1.00E+06,2.00E+06,1.0M,2.0M
ENDLESS Legend,2014-09-18,29.99,"1,000,000 .. 2,000,000",AMPLITUDE Studios,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
Command & Conquer Remastered Collection,2020-06-05,7.99,"1,000,000 .. 2,000,000","Petroglyph, Lemon Sky Studios",Electronic Arts,1.00E+06,2.00E+06,1.0M,2.0M
Stronghold HD,2013-10-21,5.99,"1,000,000 .. 2,000,000",FireFly Studios,FireFly Studios,1.00E+06,2.00E+06,1.0M,2.0M
Supreme Commander: Forged Alliance,2011-09-28,12.99,"1,000,000 .. 2,000,000",Gas Powered Games,Square Enix,1.00E+06,2.00E+06,1.0M,2.0M
Sid Meier's Civilization: Beyond Earth,2014-10-23,39.99,"1,000,000 .. 2,000,000","Firaxis Games, Aspyr (Mac), Aspyr (Linux)","2K, Aspyr (Mac), Aspyr (Linux)",1.00E+06,2.00E+06,1.0M,2.0M
Total War: NAPOLEON – Definitive Edition,2010-02-25,24.99,"1,000,000 .. 2,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac)","SEGA, Feral Interactive (Mac)",1.00E+06,2.00E+06,1.0M,2.0M
Barotrauma,2023-03-13,34.99,"1,000,000 .. 2,000,000","FakeFish, Undertow Games",Daedalic Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
Rising Storm 2: Vietnam,2017-05-30,4.99,"1,000,000 .. 2,000,000","Antimatter Games, Tripwire Interactive",Tripwire Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Card Hunter,2015-07-13,0.0,"1,000,000 .. 2,000,000",The Knights of Unity,The Knights of Unity,1.00E+06,2.00E+06,1.0M,2.0M
Age of Wonders III,2014-03-31,29.99,"1,000,000 .. 2,000,000",Triumph Studios,Paradox Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Natural Selection 2,2012-10-30,4.99,"1,000,000 .. 2,000,000",Unknown Worlds Entertainment,Unknown Worlds Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
KARDS - The WWII Card Game,2020-04-15,0.0,"1,000,000 .. 2,000,000",1939 Games,1939 Games,1.00E+06,2.00E+06,1.0M,2.0M
GWENT: The Witcher Card Game,2020-05-19,0.0,"1,000,000 .. 2,000,000",CD PROJEKT RED,CD PROJEKT RED,1.00E+06,2.00E+06,1.0M,2.0M
Teardown,2022-04-21,29.99,"1,000,000 .. 2,000,000",Tuxedo Labs,Tuxedo Labs,1.00E+06,2.00E+06,1.0M,2.0M
Tropico 3,2009-10-20,9.99,"1,000,000 .. 2,000,000",Haemimont Games,Kalypso Media Digital,1.00E+06,2.00E+06,1.0M,2.0M
Wargame: Red Dragon,2014-04-17,29.99,"1,000,000 .. 2,000,000",Eugen Systems,Eugen Systems,1.00E+06,2.00E+06,1.0M,2.0M
Tropico 6,2019-03-29,39.99,"1,000,000 .. 2,000,000","Limbic Entertainment, Realmforge Studios",Kalypso Media,1.00E+06,2.00E+06,1.0M,2.0M
BATTLETECH,2018-04-24,39.99,"1,000,000 .. 2,000,000",Harebrained Schemes,Paradox Interactive,1.00E+06,2.00E+06,1.0M,2.0M
ENDLESS Space - Definitive Edition,2012-07-04,9.99,"1,000,000 .. 2,000,000",AMPLITUDE Studios,SEGA,1.00E+06,2.00E+06,1.0M,2.0M
"Warhammer 40,000: Dawn of War III",2017-04-27,39.99,"1,000,000 .. 2,000,000","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",1.00E+06,2.00E+06,1.0M,2.0M
Supreme Commander 2,2010-03-01,12.99,"1,000,000 .. 2,000,000",Gas Powered Games,Square Enix,1.00E+06,2.00E+06,1.0M,2.0M
Day of Infamy,2017-03-23,14.99,"1,000,000 .. 2,000,000",New World Interactive,New World Interactive,1.00E+06,2.00E+06,1.0M,2.0M
They Are Billions,2019-06-18,29.99,"1,000,000 .. 2,000,000",Numantian Games,Numantian Games,1.00E+06,2.00E+06,1.0M,2.0M
Gigantic,2017-07-19,,"1,000,000 .. 2,000,000",Motiga Inc.,Perfect World Entertainment,1.00E+06,2.00E+06,1.0M,2.0M
WAKFU,2014-09-18,0.0,"1,000,000 .. 2,000,000",Ankama Studio,Ankama Games,1.00E+06,2.00E+06,1.0M,2.0M
Shadowrun Returns,2013-07-25,14.99,"1,000,000 .. 2,000,000",Harebrained Schemes,Paradox Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Satellite Reign,2015-08-28,29.99,"1,000,000 .. 2,000,000",5 Lives Studios,5 Lives Studios,1.00E+06,2.00E+06,1.0M,2.0M
