Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Unnatural Investigations,2022-08-01,13.99,"0 .. 20,000",Dimension Unknown Studio,Dimension Unknown Studio,0.00E+00,2.00E+04,0,20.0K
Grimhunt,2022-05-25,4.99,"0 .. 20,000",MrBoscheinen,MrBoscheinen,0.00E+00,2.00E+04,0,20.0K
MiniTrans,2022-05-27,6.66,"0 .. 20,000",DD Metaverse,DD Metaverse,0.00E+00,2.00E+04,0,20.0K
LEGENO SLAYER,2022-08-12,,"0 .. 20,000",YoWallCat,YoWallCat,0.00E+00,2.00E+04,0,20.0K
Easy Game Creator,2022-11-08,0.0,"0 .. 20,000",SoftWeir Inc.,SoftWeir Inc.,0.00E+00,2.00E+04,0,20.0K
Escape From Ithara,2022-11-11,6.99,"0 .. 20,000","RebornPlanetsStudios, LabCatStudios",RebornPlanetsStudios,0.00E+00,2.00E+04,0,20.0K
The HinterLands,2016-05-27,2.99,"0 .. 20,000",Ackmi,Ackmi,0.00E+00,2.00E+04,0,20.0K
Crumbled World,2016-12-01,5.99,"0 .. 20,000",Clone Corps,Clone Corps,0.00E+00,2.00E+04,0,20.0K
CRAFT: Work VR Shop,2016-12-07,6.99,"0 .. 20,000",CRAFT,CRAFT,0.00E+00,2.00E+04,0,20.0K
Fractal,2017-01-12,6.99,"0 .. 20,000",Phosphene Designs LLC,Phosphene Designs LLC,0.00E+00,2.00E+04,0,20.0K
Master Shot VR,2017-06-15,7.99,"0 .. 20,000","Puresurface, Inc.","Puresurface, Inc.",0.00E+00,2.00E+04,0,20.0K
Fishing on the Fly,2019-06-03,19.99,"0 .. 20,000",Numicus Studios,Numicus LLC,0.00E+00,2.00E+04,0,20.0K
Lamplight Station,2018-10-12,12.99,"0 .. 20,000",One Room Games,One Room Games,0.00E+00,2.00E+04,0,20.0K
Blackbeard's Cove,2018-04-27,9.99,"0 .. 20,000",TAS Systems,TAS Systems,0.00E+00,2.00E+04,0,20.0K
Ultimate Under Water,2020-03-10,2.99,"0 .. 20,000",UltimateDesktop,UltimateDesktop,0.00E+00,2.00E+04,0,20.0K
CRUEL WORLD,2020-03-18,9.99,"0 .. 20,000",SiberianGames,SiberianGames,0.00E+00,2.00E+04,0,20.0K
Hyforge,2021-04-07,14.99,"0 .. 20,000",Piko Island Studios,Piko Island Studios,0.00E+00,2.00E+04,0,20.0K
Oscillate,2021-02-22,10.99,"0 .. 20,000",Nadan Studio,Nadan Studio,0.00E+00,2.00E+04,0,20.0K
